CURSO,CURRICULO,COD_DISCIPLINA,NOME,SITUACAO_CURRICULO,TIPO,CH,ESTAGIO_CONCLUINTE,PERIODO_IDEAL
11104100,1978,1112094,METODOS E TEC DE ESTUDO (SDI),I,Normais,60,
11104100,1978,1112056,METODOS E TECN ESTUDO E PESQ,I,Normais,60,
11104100,1978,1112110,MODELO VIVO  (SDI),I,Normais,60,
11104100,1978,1105063,MODELOS FÍSICOS,I,Normais,60,
11104100,1978,1112057,MODELOS FÍSICOS,I,Normais,60,
11104100,1978,1112058,MODELOS TRIDIMENSIONAIS (SDI),I,Normais,60,
11104100,1978,1304121,MUSCULACAO,I,Normais,30,
11104100,1978,1105044,NOC CIEN SOC APL DES INDUSTR,I,Normais,30,
11104100,1978,1105043,NOC ECON APL DES INDUSTRIAL,I,Normais,30,
11104100,1978,1112059,NOCOES DE CIENC SOC APL AO DI,I,Normais,30,
11104100,1978,1112060,NOCOES DE ECONOMIA APLIC AO DI,I,Normais,30,
11104100,1978,1303083,NOCOES DE ECONOMIA APLIC AO DI,I,Normais,30,
11104100,1978,1112146,NOCOES DE SOCIOLOGIA E ANTROPOLOGIA,I,Normais,60,
11104100,1978,1112102,NOCOES DE TECNOLOGIA APROPRIADA (SDI),I,Normais,30,
11104100,1978,1112061,NOCOES SOCIOLOGIA ANTROPOLOGIA,I,Normais,60,
11104100,1978,1112117,OFICINA DE ENCADERNACAO (SDI),I,Normais,30,
11104100,1978,1112109,OFICINA DE MARMORIZACAO (SDI),I,Normais,15,
11104100,1978,1105072,OFICINA DE METAIS,I,Normais,30,
11104100,1978,1112063,OFICINA DE METAIS,I,Normais,30,
11104100,1978,1112106,OFICINA DE MOCK UP  (SDI),I,Normais,30,
11104100,1978,1105066,OFICINA DE MODELAGEM I,I,Normais,30,
11104100,1978,1112064,OFICINA DE MODELAGEM I,I,Normais,30,
11104100,1978,1105067,OFICINA DE MODELAGEM II,I,Normais,30,
11104100,1978,1112065,OFICINA DE MODELAGEM II,I,Normais,30,
11104100,1978,1105071,OFICINA GRAFICA,I,Normais,60,
11104100,1978,1112066,OFICINA GRAFICA,I,Normais,60,
11104100,1978,1105100,OFICINA MECÂNICA,I,Normais,30,
11104100,1978,1105165,OFICINA MECÂNICA,I,Normais,45,
11104100,1978,1105006,OFICINA MECÂNICA I,I,Normais,30,
11104100,1978,1112067,OFICINA MECÂNICA I,I,Normais,30,
11104100,1978,1105007,OFICINA MECÂNICA II,I,Normais,60,
11104100,1978,1105074,ORG CIENTIFICA DO TRABALHO,I,Normais,30,
11104100,1978,1105237,PERCEPCAO DA FORMA,I,Normais,60,
11104100,1978,1112068,PERCEPCAO DA FORMA (SDI),I,Normais,60,
11104100,1978,1304062,PRÁTICA DESPORTIVA,I,Normais,30,
11104100,1978,1112118,PRÁTICA PROFISSIONAL (SDI),I,Normais,60,
11104100,1978,1105048,PROCESSO DE FABRICACAO I,I,Normais,30,
11104100,1978,1105049,PROCESSO DE FABRICACAO II,I,Normais,30,
11104100,1978,1105013,PROG E CONTROLE DA PRODUCAO,I,Normais,60,
11104100,1978,1112071,PROJETO DE CONCLUSAO DE CURSO,I,Trabalho de Graduação,60,
11104100,1978,1112124,PROJETO DE DESIGN II (SDI),I,Normais,60,
11104100,1978,1112119,PROJETO DE DESIGN (SDI),I,Normais,60,
11104100,1978,1112104,PROJETO EXPERIMENTAL (SDI),I,Normais,30,
11104100,1978,1112072,PROJETO I (SDI),I,Normais,120,
11104100,1978,1112073,PROJETO II (SDI),I,Normais,90,
11104100,1978,1112074,PROJETO III (SDI),I,Normais,60,
11104100,1978,1112075,PROJETO PROFISSIONAL (SDI),I,Normais,60,
11104100,1978,1112108,PROJETO REPENTINA (SDI),I,Normais,15,
11104100,1978,1112076,QUALIDADE TOTAL (SDI),I,Normais,45,
11104100,1978,1105272,SDI (ANÁLISE ERGONÔMICA),I,Normais,30,
11104100,1978,1105195,SDI (COMPUTAÇÃO APLICADA),I,Normais,60,
11104100,1978,1105250,SDI (COR APLICADA AO PRODUTO),I,Normais,60,
11104100,1978,1105229,SDI (DES OBS E MODELO VIVO),I,Normais,90,
11104100,1978,1105266,SDI (DESIGN DE INTERIORES),I,Normais,45,
11104100,1978,1105131,SDI (ESTETICA),I,Normais,60,
11104100,1978,1105220,SDI (EXP. BIDIMENSIONAL),I,Normais,90,
11104100,1978,1105218,SDI (EXP. TRIDIMENSIONAL),I,Normais,90,
11104100,1978,1105130,SDI (FASHION DESIGN),I,Normais,60,
11104100,1978,1105244,SDI (FÍSICA),I,Normais,60,
11104100,1978,1105271,SDI (GERENCIAMENTO DE DESIGN),I,Normais,30,
11104100,1978,1105228,SDI (HIST IND E DO D. BRASIL),I,Normais,30,
